Run,Size,RateLimit,Min,Median,P75,P95,P99,PubRate,PubBW,ConBW
1,512,1000,0.13,0.15,0.19,0.23,0.24,1000,0.48,0.48
1,512,5000,0.13,0.21,0.22,0.26,0.31,4998,2.44,2.44
1,512,10000,0.14,0.31,0.43,0.47,0.57,9993,4.87,4.87
1,512,50000,0.14,0.44,0.53,0.63,4.91,49808,24.32,24.32
1,512,100000,0.16,0.43,0.60,2.38,6.52,99227,48.45,48.44
2,512,10,0.17,0.21,0.22,0.24,0.25,10,0.00,0.00
2,512,100,0.14,0.17,0.17,0.19,0.21,100,0.04,0.04
2,512,1000,0.13,0.15,0.19,0.26,0.40,1000,0.48,0.48
2,512,5000,0.13,0.21,0.23,0.26,0.30,4998,2.44,2.44
2,512,10000,0.14,0.25,0.27,0.41,0.49,9992,4.87,4.87
2,512,50000,0.14,0.32,0.40,0.56,4.90,49804,24.31,24.31
2,512,100000,0.17,0.42,0.55,2.43,6.36,99180,48.42,48.42
3,512,10,0.20,0.23,0.24,0.25,0.27,10,0.00,0.00
3,512,100,0.15,0.16,0.17,0.19,0.22,100,0.04,0.04
3,512,1000,0.13,0.18,0.20,0.23,0.24,1000,0.48,0.48
3,512,5000,0.13,0.21,0.22,0.25,0.29,4998,2.44,2.43
3,512,10000,0.13,0.24,0.25,0.29,0.46,9992,4.87,4.87
3,512,50000,0.15,0.33,0.38,0.55,4.93,49807,24.31,24.31
3,512,100000,0.15,0.53,0.60,2.47,6.32,99218,48.44,48.44
1,1024,10,0.18,0.22,0.23,0.25,0.28,10,0.00,0.00
1,1024,100,0.15,0.17,0.18,0.19,0.23,100,0.09,0.09
1,1024,1000,0.12,0.14,0.15,0.19,0.21,1000,0.97,0.97
1,1024,5000,0.13,0.23,0.24,0.28,0.45,4998,4.88,4.88
1,1024,10000,0.14,0.28,0.44,0.49,0.73,9992,9.75,9.75
1,1024,50000,0.14,0.37,0.44,0.76,5.34,49803,48.63,48.63
2,1024,10,0.19,0.22,0.24,0.27,0.32,10,0.00,0.00
2,1024,100,0.15,0.17,0.17,0.19,0.22,100,0.09,0.09
2,1024,1000,0.14,0.16,0.21,0.28,0.41,1000,0.97,0.97
2,1024,5000,0.13,0.22,0.25,0.42,0.47,4998,4.88,4.88
2,1024,10000,0.14,0.30,0.38,0.49,0.83,9993,9.75,9.75
2,1024,50000,0.18,0.51,0.59,0.92,5.38,49819,48.65,48.64
3,1024,10,0.19,0.23,0.24,0.27,0.30,10,0.00,0.00
3,1024,100,0.16,0.19,0.20,0.21,0.24,100,0.09,0.09
3,1024,1000,0.15,0.16,0.16,0.18,0.22,1000,0.97,0.97
3,1024,5000,0.14,0.20,0.25,0.43,0.48,4998,4.88,4.88
3,1024,10000,0.14,0.32,0.46,0.52,0.83,9993,9.75,9.75
3,1024,50000,0.15,0.38,0.45,0.96,5.32,49808,48.64,48.64
1,4096,10,0.21,0.25,0.26,0.30,0.31,10,0.03,0.03
1,4096,100,0.17,0.18,0.19,0.22,0.27,100,0.39,0.39
1,4096,1000,0.15,0.18,0.21,0.29,0.43,1000,3.90,3.90
1,4096,5000,0.15,0.29,0.32,0.41,3.03,4998,19.52,19.52
1,4096,10000,0.15,0.33,0.37,0.55,5.05,9992,39.03,39.03
2,4096,10,0.20,0.25,0.26,0.29,0.33,10,0.03,0.03
2,4096,100,0.16,0.17,0.18,0.22,0.25,100,0.39,0.39
2,4096,1000,0.15,0.17,0.21,0.23,0.40,1000,3.90,3.90
2,4096,5000,0.15,0.45,0.49,0.58,3.17,4998,19.52,19.52
2,4096,10000,0.16,0.33,0.37,0.55,4.98,9992,39.03,39.03
3,4096,10,0.21,0.26,0.27,0.30,0.38,10,0.03,0.03
3,4096,100,0.17,0.19,0.19,0.23,0.26,100,0.39,0.39
3,4096,1000,0.16,0.18,0.22,0.25,0.41,1000,3.90,3.90
3,4096,5000,0.16,0.30,0.33,0.42,3.02,4998,19.52,19.52
3,4096,10000,0.15,0.33,0.38,0.55,5.01,9991,39.02,39.02
1,16384,10,0.34,0.53,0.54,0.58,0.61,10,0.15,0.15
1,16384,100,0.22,0.48,0.50,0.54,0.61,100,1.56,1.56
1,16384,1000,0.19,0.40,0.49,0.57,2.90,1000,15.62,15.62
1,16384,5000,0.21,3.53,4.63,108.58,110.01,4449,69.51,69.43
2,16384,10,0.24,0.30,0.33,0.37,0.53,10,0.15,0.15
2,16384,100,0.20,0.25,0.27,0.31,0.47,100,1.56,1.56
2,16384,1000,0.20,0.35,0.49,0.57,2.93,1000,15.62,15.62
2,16384,5000,0.20,7.19,111.83,114.38,115.41,4451,69.54,69.34
3,16384,10,0.29,0.34,0.36,0.41,0.46,10,0.15,0.15
3,16384,100,0.20,0.29,0.31,0.38,0.51,100,1.56,1.56
3,16384,1000,0.19,0.47,0.52,0.60,2.96,1000,15.62,15.62
3,16384,5000,0.19,5.78,72.03,112.65,113.64,4458,69.65,69.51
1,65536,10,0.41,0.48,0.52,0.62,0.71,10,0.62,0.62
1,65536,100,0.34,0.43,0.47,0.56,0.64,100,6.25,6.25
1,65536,1000,0.34,0.60,0.67,1.59,6.78,1000,62.50,62.50
2,65536,10,0.40,0.48,0.52,0.67,0.80,10,0.62,0.62
2,65536,100,0.34,0.44,0.47,0.56,0.71,100,6.25,6.25
2,65536,1000,0.35,0.61,0.67,1.63,6.80,1000,62.50,62.50
3,65536,10,0.43,0.50,0.54,0.62,0.70,10,0.62,0.62
3,65536,100,0.35,0.43,0.46,0.55,0.69,100,6.25,6.25
3,65536,1000,0.35,0.58,0.66,1.62,6.75,1000,62.50,62.50
